问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
抢唱,T40254,1,无抢麦按钮,While playing take the mic the mic is not founding;,"1688849860328694	",7.3.2,Android 7.0,2019/4/15 19:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
抢唱,T40254,1,无抢麦按钮,"No...it is not woking.... Problem is when i enter this feature,songs comes and grab button rapidly comes and goes rapidly right side.so i can not tap the grab button.If continuously my fingers tap that point where grab button then once in a while it works but that time  perhaps my voice do not get to anyone and challenge fail.;","3635956372	",7.3.3,Android 9,2019/4/15 2:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
抢唱,T40254,1,无抢麦按钮,Mic option is not their it disappear while its begin;,4785074601968131,7.3.2,Android 7.0,2019/4/15 10:35,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/905c5e50abff8e28850b728de9a85ffe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作品/发布,T40750,1,上传歌曲消失,My songs do not appear on my page ... Also the drafts have been deleted and I do not know the reason;,"5066549358156902	",7.3.3,Android 6.0,2019/4/15 21:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作品/发布,T38936,1,歌曲无法评论,"I am unable to type and send my comments  on the comments section below,  to any singer. even after I type it, there is no arrow or indicator to send it.. ;Kindly help immediately.. ;Thank you. ;","5910973795953452	",7.3.3,Android 9,2019/4/16 7:31,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/173c7fd1d94c9b8e00eee9300ede5e74.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/747792d0b1e07fb23f7ba497439f7596.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作品/发布,T38936,1,歌曲无法评论,    I am unable to rply any comments for my songs..can u plzzz help me soon;,"2533274791195848	",7.3.3,Android 9,2019/4/15 20:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作品/发布,T38936,1,歌曲无法评论,I am unable to reciprocate comments on my songs after reciprocating two or three reply and receiving attached message on screen.. I have lodged this complaint twice already but no action has been taken..;,"6755399445782982	",7.4.2,iOS 12.1.4,2019/4/15 17:12,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/cbc6ceafd7d1550b508123dd6f25bfda.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作品/发布,T38936,1,歌曲无法评论,"Not sure if your team is aware, yet the comment feature is not available for my account when I want to comment on a song. I have not paid attention too much yet lately I want to let another singer know of a good job on a song. My keyboard pops up yet not the text box with the send button.;","4785074603887377	",7.3.3,Android 9,2019/4/15 22:09,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/3d76d77d68aab8a7da7a4ac733bfd7b8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作品/发布,T14447,1,歌曲上传失败,"SIR ITS MY HUMBLE REQUEST PLEASE FIX IT PLEASE.. ;I HAVE GIVEN SCREENSHOT OF HOW MY VIDEO SONGS HERE GETS FAILED EVERYTIME I TRY TO UPLOAD IT.. IT DOESN'T GET UPLOAD, ONLY AUDIO SONGS DOES.. VIDEO SONGS DOESN'T UPLOAD OR SAVE IN DRAFT, IT GETS FAILED. I HAVE 4G net , also STRONG 4G WI-FI, enough space on phone. Still this happening. Please fix please for God's sake ;","4785074602762268	",7.3.3,Android 5.0.2,2019/4/15 20:50,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/6e6bc73961a78677a8407c0f46c59e79.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/8d97fc1c21c1b04a79a341a0d4f350a9.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2cbf662af36ae483fd987b1bbee14981.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作品/发布,T14447,1,歌曲上传失败,Hey! :);I cannot upload any more songs - still can sing them but I‘m not able to share or save them... ;The wheel is just turning for minutes without any action...;Can you help me?;Best wishes;Christa ;,"5348024333948882	",7.4.2,iOS 12.1.4,2019/4/15 18:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
详情页,,1,粉丝列表异常,Have a problem of followers list I had already told u about rozi and now new problem is naveennarra follow me bt not shown in my list increase my followers no should be more than 67rply fast ;,"7881299348269197	",7.3.2,Android 6.0,2019/4/15 13:50,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/141a69000079f3e1641589d5f2178e98.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/fc422b22365bed1d3ea443fd8af8376d.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTV,,1,不能进入房间,"Hello;Suddenly in all USA rooms the problem started. We cannot enter in our rooms. My room #127544. Location - Georgia, USA. I'm owner of level 5 room. Please correct the issue.;Thank you.;","6755399377719390	",7.4.2,iOS 12.2,2019/4/16 2:40,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f7053c61636ac593a99984adf1cec9ff.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTV,T38936,1,KTV无法评论, Dear sir ;     I. Am unable  to send msg for in party. Room. Because.    Messege fiction is not show ing in.  In room in my id  only my id showing but. Messege dictionary is not sbowing;,"5348024336678134	",7.3.3,Android 9,2019/4/16 6:29,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f1877df5702d2cb36b4b5da74157905c.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5,,1,H5报错,"Please help solve this issue it's been a month and I've asked about every week and keep getting no response back when I do what is suggested. Here fix the party room access please. In the pictures you'll find what it looks like with no log in, with login and what it would say if it was a network issue. That's how I know it's not one. Please fix. This is the 5th time I've asked and provided pics, please acknowledge and fix the issue;","5348024333763020	",7.3.3,Android 9,2019/4/15 22:55,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/e9447ddf23905b4ddc1f0e6ae14b6086.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/83bab67962077f8aaa01c13d064c0b75.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/055453fa9153410701fc2fe89f472be1.jpg,,,,,,,,,,2019/4/15 11:21,6.47392E+15,7.3.3,Android 6.0.2,未处理,Verification,Why my Party Talent verification has been canceled?,"hello there.. ;i can only live once a month cause of routine. i love singing. and i can sing all genre. this time my friend from 119334 has recommend me as a party talent. i have been recommended several times by several rooms. hope this time you will approve me. these the link of my cover song ""newyork, newyork"";https://m.starmakerstudios.com/share?recording_id=6473924397123616&app_name=tvp&share_type=copyLink;please approve me or at least give me the reason why i cant get V label.. thanks",https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/3523e5d476d79348fe75c043ff7d6adb.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/554cde9f471d54720ca661a83bfb7eda.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/3fcc0a909eb8dc52bc74dfe0c5a45a68.jpg,,,,,,,,,,2019/4/15 11:21,6.47392E+15,2019/4/15 11:21
